연령별_수학여부,15~29세_전체,15~29세_졸업/중퇴,15~29세_재학/휴학,15~29세_기타,15~19세_전체,15~19세_졸업/중퇴,15~19세_재학/휴학,15~19세_기타,20~24세_전체,20~24세_졸업/중퇴,20~24세_재학/휴학,20~24세_기타,25~29세_전체,25~29세_졸업/중퇴,25~29세_재학/휴학,25~29세_기타,20~34세_전체,20~34세_졸업/중퇴,20~34세_재학/휴학,20~34세_기타
2021.05_취업자,3908,3158,747,3,197,65,131,0,1246,802,445,0,2465,2292,171,3,6239,5572,663,4
2021.05_실업자,402,342,60,0,19,10,9,0,128,100,28,0,255,232,22,0,498,443,54,0
2021.05_비경제활동인구,4488,1205,3283,0,2102,120,1981,0,1471,400,1071,0,916,685,231,0,3042,1717,1323,2
2021.05_고용률,44,67,18,100,9,33,6,0,44,62,29,0,68,71,40,100,64,72,33,66
2021.05_실업률,9,10,7,0,9,13,7,0,9,11,6,0,9,9,12,0,7,7,8,0
2022.05_청년층인구,8595,4691,3900,4,2243,187,2056,0,2752,1291,1459,3,3599,3212,386,1,9717,7770,1942,6
2022.05_경제활동인구,4425,3631,790,4,219,63,157,0,1421,957,461,3,2784,2612,172,1,6916,6219,692,5
2022.05_취업자,4104,3361,740,4,208,60,148,0,1296,858,435,3,2601,2442,158,1,6510,5854,650,5
2022.05_실업자,320,271,49,0,12,3,9,0,125,99,26,0,184,169,14,0,406,364,42,0
2022.05_비경제활동인구,4170,1059,3111,0,2024,125,1899,0,1331,334,997,0,815,601,214,0,2801,1551,1250,1
2022.05_고용률,48,72,19,100,9,32,7,0,47,67,30,100,72,76,41,100,67,75,34,91
2022.05_실업률,7,8,6,0,5,4,6,0,9,10,6,0,7,7,8,0,6,6,6,0
2023.05_청년층인구,8416,4521,3890,4,2261,165,2096,0,2643,1220,1421,2,3513,3137,373,2,9603,7707,1889,6
2023.05_경제활동인구,4252,3487,762,3,178,45,132,0,1312,860,450,2,2763,2582,180,1,6900,6214,681,5
2023.05_취업자,4005,3261,741,3,172,40,132,0,1240,796,442,2,2594,2426,167,1,6580,5915,660,5
2023.05_실업자,247,226,22,0,6,6,0,0,72,64,8,0,169,156,13,0,320,299,21,0
2023.05_비경제활동인구,4164,1035,3128,1,2083,120,1963,0,1331,360,971,0,750,555,194,1,2703,1494,1208,2
2023.05_고용률,48,72,19,77,8,24,6,0,47,65,31,100,74,77,45,57,69,77,35,77
2023.05_실업률,6,7,3,0,3,13,0,0,6,7,2,0,6,6,7,0,5,5,3,0
2024.05_청년층인구,8173,4367,3805,2,2230,207,2023,0,2498,1106,1392,0,3445,3053,390,2,9473,7585,1886,2
2024.05_경제활동인구,4107,3326,779,2,180,54,126,0,1245,771,475,0,2682,2502,179,2,6876,6157,718,2
2024.05_취업자,3832,3077,753,2,166,44,122,0,1161,695,466,0,2504,2338,165,2,6515,5823,690,2
2024.05_실업자,276,250,26,0,14,10,4,0,84,75,9,0,178,164,14,0,361,334,28,0
2024.05_비경제활동인구,4066,1040,3025,1,2051,153,1897,0,1252,336,917,0,763,551,211,1,2597,1428,1169,1
2024.05_고용률,46.9,70.5,19.8,69.3,7.4,21.2,6,0,46.5,62.9,33.5,0,72.7,76.6,42.3,69.3,68.8,76.8,36.6,69.3
2024.05_실업률,6.7,7.5,3.3,0,7.5,18.6,2.8,0,6.7,9.8,1.9,0,6.6,6.6,7.7,0,5.3,5.4,3.8,0
2025.05_청년층인구,7974,4175,3797,3,2233,183,2050,0,2357,989,1369,0,3384,3003,378,3,9337,7502,1832,3
2025.05_경제활동인구,3943,3198,743,3,146,46,100,0,1171,706,465,0,2627,2447,178,3,6815,6117,696,3
2025.05_취업자,3682,2962,717,3,140,42,98,0,1081,630,451,0,2461,2290,168,3,6471,5798,670,3
2025.05_실업자,262,236,26,0,6,4,2,0,91,76,15,0,166,156,9,0,345,318,26,0
2025.05_비경제활동인구,4030,977,3053,0,2087,137,1950,0,1186,283,904,0,757,557,200,0,2521,1385,1136,0
2025.05_고용률,46.2,71,18.9,100,6.3,23,4.8,0,45.8,63.7,32.9,0,72.7,76.3,44.5,100,69.3,77.3,36.6,100
2025.05_실업률,6.6,7.4,3.5,0,3.8,7.7,2,0,7.7,10.8,3.1,0,6.3,6.4,5.3,0,5.1,5.2,3.8,0
