성별_종사자규모별,계_계,계_1 - 4인,계_5~299인,계_300인이상,남자_계,남자_1 - 4인,남자_5~299인,남자_300인이상,여자_계,여자_1 - 4인,여자_5~299인,여자_300인이상
2011.08_비정규직,6053,1560,4153,340,2819,624,2016,179,3234,936,2137,162
2011.08_한시적,3474,577,2588,309,1660,218,1275,166,1814,358,1312,143
2011.08_기간제,2687,365,2069,253,1275,141,1003,130,1412,224,1065,123
2011.08_시간제,1708,742,910,57,470,190,258,23,1237,551,652,34
2011.08_비전형,2452,752,1667,33,1267,373,881,13,1185,379,786,20
2012.03_임금근로자,17645,3360,12266,2020,10067,1452,7157,1458,7578,1907,5109,562
2012.03_정규직,11782,1804,8295,1683,7354,855,5233,1266,4428,949,3061,417
2012.03_비정규직,5863,1556,3971,336,2712,597,1923,192,3151,958,2048,144
2012.03_한시적,3424,586,2534,305,1642,228,1242,172,1782,358,1292,133
2012.03_기간제,2573,367,1962,244,1238,157,942,138,1335,210,1020,105
2012.03_시간제,1710,765,883,62,469,197,243,29,1241,567,640,34
2012.03_비전형,2282,712,1541,29,1171,341,814,15,1111,371,726,14
2012.08_임금근로자,17941,3426,12405,2110,10278,1540,7198,1540,7663,1886,5208,570
2012.08_정규직,11987,1820,8365,1803,7500,897,5241,1362,4488,923,3124,441
2012.08_비정규직,5954,1606,4041,307,2779,644,1957,178,3175,963,2084,129
2012.08_한시적,3427,601,2544,281,1679,234,1279,166,1747,367,1265,115
2012.08_기간제,2729,416,2064,249,1326,169,1007,149,1404,247,1057,100
2012.08_시간제,1828,796,984,49,505,204,277,24,1323,592,707,24
2012.08_비전형,2304,734,1546,24,1212,383,819,10,1092,351,727,13
2013.03_임금근로자,17905,3401,12374,2129,10248,1503,7185,1560,7657,1899,5189,569
2013.03_정규직,12138,1833,8498,1808,7580,879,5327,1374,4558,953,3171,434
2013.03_비정규직,5767,1569,3876,322,2668,623,1858,187,3099,946,2018,135
2013.03_한시적,3349,606,2446,297,1621,243,1204,174,1728,363,1242,123
2013.03_기간제,2607,398,1945,264,1279,177,949,153,1328,221,997,111
2013.03_시간제,1758,784,914,60,471,202,245,24,1288,582,669,37
2013.03_비전형,2226,705,1493,29,1150,350,787,13,1076,355,705,16
2013.08_임금근로자,18403,3506,12685,2212,10517,1515,7397,1605,7887,1991,5288,608
2013.08_정규직,12426,1882,8666,1878,7740,862,5458,1420,4686,1020,3208,458
2013.08_비정규직,5977,1625,4019,334,2776,653,1939,184,3201,971,2080,150
2013.08_한시적,3446,631,2516,299,1653,236,1248,170,1793,395,1268,130
2013.08_기간제,2770,449,2069,253,1346,184,1026,137,1424,265,1043,116
2013.08_시간제,1883,820,1011,52,523,218,288,17,1360,602,723,35
2013.08_비전형,2234,731,1477,26,1192,380,798,13,1042,351,678,13
2014.03_임금근로자,18615,3559,12800,2256,10590,1589,7363,1638,8024,1969,5437,618
2014.03_정규직,12654,1896,8842,1917,7828,899,5486,1443,4826,997,3355,474
2014.03_비정규직,5960,1663,3958,339,2762,690,1877,196,3198,973,2082,144
2014.03_한시적,3426,630,2493,303,1679,258,1239,182,1747,372,1254,121
2014.03_기간제,2604,423,1947,234,1264,179,954,131,1340,244,993,102
2014.03_시간제,1921,821,1046,54,529,237,267,25,1392,585,779,28
2014.03_비전형,2177,730,1424,22,1140,388,743,10,1036,342,682,12
2014.08_임금근로자,18992,3612,13043,2336,10796,1564,7536,1696,8196,2048,5508,640
2014.08_정규직,12869,1921,8982,1966,7944,895,5572,1477,4925,1026,3409,490
2014.08_비정규직,6123,1691,4062,370,2852,669,1964,220,3271,1022,2098,151
2014.08_한시적,3529,648,2547,334,1740,247,1289,204,1789,402,1258,130
2014.08_기간제,2763,442,2042,279,1350,173,1011,165,1413,269,1031,114
2014.08_시간제,2035,848,1106,80,584,221,320,43,1450,627,786,37
2014.08_비전형,2137,703,1410,24,1131,359,760,12,1006,344,650,12
2015.03_임금근로자,18989,3513,13151,2325,10795,1549,7573,1673,8195,1964,5578,652
2015.03_정규직,12935,1883,9054,1998,8016,883,5630,1503,4919,1000,3424,495
2015.03_비정규직,6055,1630,4097,328,2779,666,1943,171,3276,964,2154,157
2015.03_한시적,3437,600,2541,297,1651,240,1252,159,1787,360,1289,138
2015.03_기간제,2640,377,2014,249,1267,160,978,129,1373,217,1036,121
2015.03_시간제,2095,847,1152,96,617,249,329,39,1477,598,823,56
2015.03_비전형,2171,692,1464,16,1150,364,779,7,1021,328,684,8
2015.08_임금근로자,19474,3643,13427,2404,11007,1589,7685,1733,8468,2055,5742,671
2015.08_정규직,13166,1915,9180,2071,8103,900,5667,1537,5063,1016,3514,533
2015.08_비정규직,6308,1728,4247,334,2903,689,2018,196,3405,1039,2229,138
2015.08_한시적,3655,687,2660,309,1760,271,1305,184,1895,416,1355,125
2015.08_기간제,2872,453,2151,268,1376,187,1030,159,1495,266,1121,109
2015.08_시간제,2236,920,1224,92,684,267,365,52,1553,653,860,40
2015.08_비전형,2229,695,1515,19,1150,354,784,11,1079,341,731,8
2016.03_임금근로자,19359,3445,13438,2476,10900,1491,7661,1747,8459,1954,5776,729
