성별_연령계층별,계_계,계_15 - 19세,계_20 - 29세,계_30 - 39세,계_40 - 49세,계_50 - 59세,계_60세이상,남자_계,남자_15 - 19세,남자_20 - 29세,남자_30 - 39세,남자_40 - 49세,남자_50 - 59세,남자_60세이상,여자_계,여자_15 - 19세,여자_20 - 29세,여자_30 - 39세,여자_40 - 49세,여자_50 - 59세,여자_60세이상
2017.08_비전형,2112,12,134,245,464,637,620,1157,9,84,138,254,324,349,954,3,50,107,210,313,271
2018.08_임금근로자,20045,204,3478,4717,4970,4247,2430,11171,94,1647,2883,2871,2402,1275,8874,110,1830,1834,2099,1845,1155
2018.08_정규직,13431,53,2353,3726,3714,2803,782,8236,26,1128,2434,2348,1779,520,5195,27,1225,1292,1367,1024,261
2018.08_비정규직,6614,151,1124,992,1255,1444,1649,2936,68,519,449,523,622,755,3678,83,605,543,732,822,894
2018.08_한시적,3823,55,672,630,685,716,1066,1748,26,298,312,298,301,515,2075,29,374,318,387,415,551
2018.08_기간제,3005,43,533,464,482,534,949,1388,22,234,234,212,229,457,1616,21,299,230,271,305,492
2018.08_시간제,2709,127,536,299,405,460,882,737,55,213,57,53,98,262,1971,72,323,243,352,362,620
2018.08_비전형,2071,14,137,232,461,627,600,1148,8,100,128,251,323,338,923,6,37,104,211,304,262
2019.08_임금근로자,20559,194,3555,4691,4979,4435,2706,11396,78,1741,2823,2888,2469,1398,9163,116,1815,1867,2091,1966,1308
2019.08_정규직,13078,42,2194,3580,3633,2861,769,8040,24,1082,2299,2327,1803,506,5038,19,1112,1281,1305,1058,263
2019.08_비정규직,7481,151,1362,1111,1346,1574,1938,3356,54,659,525,560,665,893,4125,97,703,586,786,908,1045
2019.08_한시적,4785,69,872,772,799,904,1370,2238,27,438,392,343,390,648,2547,41,434,380,456,514,722
2019.08_기간제,3799,47,688,586,584,687,1207,1786,17,356,293,244,298,579,2013,30,333,293,340,390,628
2019.08_시간제,3156,127,633,344,482,515,1054,846,44,256,57,96,93,300,2310,83,377,287,386,422,755
2019.08_비전형,2045,15,166,231,435,586,613,1125,6,117,140,237,298,328,920,9,50,91,198,288,285
2020.08_임금근로자,20446,164,3399,4481,4900,4501,3002,11361,73,1627,2738,2857,2529,1537,9085,90,1772,1743,2043,1972,1465
2020.08_정규직,13020,25,2116,3459,3592,2958,870,8027,15,1034,2232,2316,1858,571,4994,10,1082,1227,1275,1100,299
2020.08_비정규직,7426,138,1283,1022,1308,1543,2132,3335,58,592,506,541,671,966,4091,80,690,516,767,871,1166
2020.08_한시적,4608,56,778,662,785,825,1502,2079,29,361,341,325,338,685,2529,28,416,321,460,488,817
2020.08_기간제,3933,38,656,556,656,663,1364,1800,23,309,289,272,268,639,2133,15,347,267,383,395,725
2020.08_시간제,3252,120,630,323,424,550,1206,915,45,249,77,75,111,358,2337,75,380,247,349,439,847
2020.08_비전형,2073,14,155,258,400,603,643,1212,8,104,169,227,347,357,861,6,51,90,173,256,286
2021.08_임금근로자,20992,174,3537,4417,4958,4649,3259,11517,71,1632,2665,2874,2596,1678,9476,102,1905,1751,2084,2053,1581
2021.08_정규직,12927,26,2124,3401,3539,2982,856,7941,16,1029,2153,2311,1860,572,4985,10,1094,1248,1228,1122,284
2021.08_비정규직,8066,148,1414,1016,1419,1667,2403,3575,55,603,512,563,737,1106,4491,93,811,504,856,931,1297
2021.08_한시적,5171,68,906,657,910,928,1703,2234,25,382,331,353,379,765,2938,43,524,327,557,550,937
2021.08_기간제,4537,51,778,586,796,778,1549,1964,19,326,295,308,325,693,2573,32,452,291,488,454,855
2021.08_시간제,3512,130,690,329,475,568,1320,1011,47,263,88,79,135,399,2502,83,427,241,396,433,921
2021.08_비전형,2278,13,199,253,419,651,743,1342,8,119,178,234,374,430,936,6,80,75,185,277,313
2022.08_임금근로자,21724,184,3613,4488,4978,4883,3580,11936,72,1729,2652,2899,2710,1874,9788,112,1884,1835,2079,2173,1706
2022.08_정규직,13568,25,2199,3505,3655,3158,1026,8283,13,1061,2172,2355,2005,676,5285,12,1138,1333,1300,1153,350
2022.08_비정규직,8156,159,1414,983,1323,1725,2553,3653,58,668,480,545,705,1198,4503,100,746,503,779,1020,1356
2022.08_한시적,5348,63,929,666,863,1006,1822,2368,21,435,330,362,384,837,2980,41,495,336,501,622,985
2022.08_기간제,4689,48,796,603,733,845,1663,2105,19,383,298,307,322,776,2585,29,413,305,427,523,887
2022.08_시간제,3687,148,708,312,462,622,1436,1125,52,292,88,79,148,467,2562,96,416,225,383,473,969
2022.08_비전형,2131,7,147,233,355,624,766,1209,5,103,147,187,327,440,922,2,44,87,168,296,326
2023.08_임금근로자,21954,173,3528,4571,4976,4894,3812,11927,74,1701,2667,2863,2675,1948,10027,99,1827,1905,2112,2219,1865
2023.08_정규직,13832,19,2105,3582,3665,3267,1193,8370,10,1033,2182,2341,2045,760,5462,9,1072,1401,1324,1223,434
2023.08_비정규직,8122,154,1423,989,1311,1627,2619,3557,64,668,485,523,631,1188,4565,91,755,504,788,996,1431
2023.08_한시적,5259,52,876,706,807,933,1885,2349,27,416,359,341,351,855,2910,25,460,347,466,582,1030
2023.08_기간제,4809,43,799,664,733,830,1740,2160,23,379,337,315,311,796,2649,20,420,327,418,520,944
2023.08_시간제,3873,145,737,302,470,646,1574,1143,56,318,79,73,128,489,2731,89,418,223,398,518,1085
2023.08_비전형,1957,13,146,190,343,562,703,1090,5,89,128,172,289,408,866,8,57,62,171,273,295
2024.08_임금근로자,22143,159,3389,4729,4908,4925,4033,11908,67,1623,2715,2825,2676,2002,10235,92,1766,2014,2083,2249,2031
2024.08_정규직,13685,16,1929,3657,3597,3264,1222,8293,9,973,2184,2305,2060,762,5392,8,955,1473,1292,1204,460
2024.08_비정규직,8459,143,1461,1072,1310,1661,2812,3615,59,650,531,520,616,1240,4844,85,811,542,791,1044,1572
2024.08_한시적,5628,72,922,762,798,997,2076,2470,28,411,397,342,361,931,3158,45,511,365,456,637,1145
2024.08_기간제,4999,56,785,699,693,868,1898,2213,22,341,370,301,326,853,2786,34,444,329,392,543,1045
2024.08_시간제,4256,128,817,353,488,700,1771,1240,51,327,98,86,138,540,3016,77,490,255,402,562,1231
2024.08_비전형,1903,10,155,200,342,491,705,1065,7,103,143,178,247,389,838,3,53,58,164,244,316
2025.08_임금근로자,22413,131,3258,4852,4865,4952,4354,11953,54,1546,2774,2758,2698,2123,10460,77,1712,2078,2108,2255,2231
2025.08_정규직,13845,17,1827,3714,3661,3317,1310,8302,7,900,2207,2292,2059,838,5543,10,927,1507,1370,1258,472
2025.08_비정규직,8568,114,1431,1139,1204,1636,3044,3650,47,646,567,466,639,1285,4918,67,785,572,738,997,1760
2025.08_한시적,5848,52,939,824,753,1005,2275,2570,24,416,428,315,420,968,3278,28,523,396,438,585,1307
2025.08_기간제,5337,45,838,752,666,905,2130,2320,22,362,388,276,374,898,3018,24,476,364,391,531,1232
2025.08_시간제,4229,105,753,348,451,656,1916,1187,41,308,101,66,115,557,3042,65,445,247,384,542,1359
2025.08_비전형,1834,8,129,203,298,464,732,1006,6,81,136,160,223,400,828,2,48,67,138,241,332
