연령구분_학력별_성별,15~29세_전체_전체,15~29세_전체_남자,15~29세_전체_여자,15~29세_고졸이하_전체,15~29세_고졸이하_남자,15~29세_고졸이하_여자,15~29세_대졸이상_전체,15~29세_대졸이상_남자,15~29세_대졸이상_여자,20~34세_전체_전체,20~34세_전체_남자,20~34세_전체_여자,20~34세_고졸이하_전체,20~34세_고졸이하_남자,20~34세_고졸이하_여자,20~34세_대졸이상_전체,20~34세_대졸이상_남자,20~34세_대졸이상_여자
2011.05_졸업/중퇴 후 취업 유경험자,4129,1798,2331,1432,741,691,2697,1057,1640,0,0,0,0,0,0,0,0,0
2011.05_가족 친지소개 (추천),927,496,431,471,279,192,456,217,239,0,0,0,0,0,0,0,0,0
2011.05_그 직장 근무자소개 (추천),453,224,229,170,101,69,283,123,160,0,0,0,0,0,0,0,0,0
2011.05_학교(학원) 선생님 추천,321,87,235,76,20,56,245,67,179,0,0,0,0,0,0,0,0,0
2011.05_신문 잡지 인터넷 등 응모,1195,433,762,479,217,262,716,216,500,0,0,0,0,0,0,0,0,0
2011.05_공개시험,749,323,426,60,27,32,689,296,394,0,0,0,0,0,0,0,0,0
2011.05_특별채용,135,62,74,23,12,10,113,50,63,0,0,0,0,0,0,0,0,0
2011.05_그 외,349,174,175,153,85,69,196,89,107,0,0,0,0,0,0,0,0,0
2012.05_졸업/중퇴 후 취업 유경험자,4037,1753,2283,1352,733,620,2684,1021,1664,0,0,0,0,0,0,0,0,0
2012.05_가족 친지소개 (추천),881,458,423,426,256,170,456,202,254,0,0,0,0,0,0,0,0,0
2012.05_그 직장 근무자소개 (추천),446,221,225,178,110,67,268,111,157,0,0,0,0,0,0,0,0,0
2012.05_학교(학원) 선생님 추천,356,112,244,103,41,62,253,71,182,0,0,0,0,0,0,0,0,0
2012.05_신문 잡지 인터넷 등 응모,1213,458,755,451,213,238,762,245,517,0,0,0,0,0,0,0,0,0
2012.05_공개시험,731,312,419,64,38,26,667,274,394,0,0,0,0,0,0,0,0,0
2012.05_특별채용,102,46,56,19,12,8,82,35,48,0,0,0,0,0,0,0,0,0
2012.05_그 외,308,146,162,112,63,49,196,83,113,0,0,0,0,0,0,0,0,0
2013.05_졸업/중퇴 후 취업 유경험자,3857,1680,2178,1262,691,571,2595,988,1607,0,0,0,0,0,0,0,0,0
2013.05_가족 친지소개 (추천),823,429,394,396,230,166,427,199,228,0,0,0,0,0,0,0,0,0
2013.05_그 직장 근무자소개 (추천),371,161,211,143,81,62,229,80,149,0,0,0,0,0,0,0,0,0
2013.05_학교(학원) 선생님 추천,355,107,248,84,29,54,271,78,194,0,0,0,0,0,0,0,0,0
2013.05_신문 잡지 인터넷 등 응모,1191,480,711,450,248,202,741,232,509,0,0,0,0,0,0,0,0,0
2013.05_공개시험,710,303,407,51,24,27,659,279,380,0,0,0,0,0,0,0,0,0
2013.05_특별채용,90,46,44,28,19,9,62,27,36,0,0,0,0,0,0,0,0,0
2013.05_그 외,318,155,163,111,60,52,207,95,112,0,0,0,0,0,0,0,0,0
2014.05_졸업/중퇴 후 취업 유경험자,3827,1661,2166,1251,693,558,2576,968,1608,0,0,0,0,0,0,0,0,0
2014.05_가족 친지소개 (추천),800,417,384,400,240,160,401,176,224,0,0,0,0,0,0,0,0,0
2014.05_그 직장 근무자소개 (추천),340,171,169,141,95,47,198,76,122,0,0,0,0,0,0,0,0,0
2014.05_학교(학원) 선생님 추천,329,118,211,84,34,50,245,84,161,0,0,0,0,0,0,0,0,0
