연령구분_전체,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2017.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4101,1849,2252,7243,3481,3762
2017.05_임금 근로자,4012,1801,2211,7061,3367,3694
2017.05_3개월 미만,2006,813,1193,3350,1468,1883
2017.05_3~6개월 미만,542,253,289,924,439,485
2017.05_6개월~1년 미만,352,143,208,633,278,355
2017.05_1~2년 미만,465,219,246,833,388,445
2017.05_2~3년 미만,258,137,122,451,261,191
2017.05_3년 이상,389,237,152,869,534,336
2017.05_첫 취업 평균소요기간,11,13,9,13,15,12
2018.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4140,1912,2229,7173,3517,3656
2018.05_임금 근로자,4054,1868,2187,6998,3409,3589
2018.05_3개월 미만,2011,876,1135,3307,1512,1795
2018.05_3~6개월 미만,487,226,262,861,415,446
2018.05_6개월~1년 미만,438,197,241,683,314,370
2018.05_1~2년 미만,468,201,267,814,379,436
2018.05_2~3년 미만,282,157,125,475,276,199
2018.05_3년 이상,368,211,156,857,514,344
2018.05_첫 취업 평균소요기간,11,12,10,14,15,12
2019.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4168,1975,2193,7142,3525,3617
2019.05_임금 근로자,4070,1923,2147,6947,3409,3537
2019.05_3개월 미만,2015,925,1090,3307,1537,1770
2019.05_3~6개월 미만,522,220,302,879,387,493
2019.05_6개월~1년 미만,405,210,195,661,341,321
2019.05_1~2년 미만,476,199,278,784,357,427
2019.05_2~3년 미만,266,151,115,499,301,197
2019.05_3년 이상,387,220,167,816,487,329
2019.05_첫 취업 평균소요기간,11,12,10,13,15,11
2020.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4070,1928,2142,7068,3516,3552
2020.05_임금 근로자,3963,1857,2106,6859,3385,3474
2020.05_3개월 미만,1950,876,1075,3231,1506,1725
2020.05_3~6개월 미만,532,234,298,858,401,457
2020.05_6개월~1년 미만,449,199,250,751,366,384
2020.05_1~2년 미만,471,202,270,834,383,451
2020.05_2~3년 미만,251,156,95,464,285,178
2020.05_3년 이상,309,191,119,722,444,278
2020.05_첫 취업 평균소요기간,10,12,8,13,14,11
2021.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4056,1926,2130,7084,3531,3553
2021.05_임금 근로자,3953,1867,2086,6891,3418,3473
2021.05_3개월 미만,1874,837,1037,3168,1480,1688
2021.05_3~6개월 미만,556,251,305,868,401,467
2021.05_6개월~1년 미만,470,216,254,766,366,401
2021.05_1~2년 미만,464,184,280,832,367,466
2021.05_2~3년 미만,267,168,99,489,314,174
2021.05_3년 이상,323,211,112,768,491,277
2021.05_첫 취업 평균소요기간,10,12,8,13,15,11
2022.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4117,1940,2177,7216,3583,3633
2022.05_임금 근로자,4018,1886,2132,6990,3452,3538
2022.05_3개월 미만,1967,858,1109,3264,1470,1794
2022.05_3~6개월 미만,482,212,270,854,407,447
2022.05_6개월~1년 미만,409,207,202,714,363,351
2022.05_1~2년 미만,528,231,297,907,428,479
2022.05_2~3년 미만,275,157,118,470,283,188
2022.05_3년 이상,358,222,136,781,502,279
2022.05_첫 취업 평균소요기간,11,13,9,13,15,11
2023.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3947,1840,2107,7132,3537,3595
2023.05_임금 근로자,3865,1791,2074,6936,3425,3511
2023.05_3개월 미만,1890,822,1069,3255,1478,1777
2023.05_3~6개월 미만,457,188,269,849,403,446
