일자리선택동기별,계,자발적 사유,자발적_계,근로조건에 만족,안정적인 일자리,직장이동 등 1),노력한 만큼 수입 등 2),비자발적 사유,비자발적_계,당장 수입이 필요,원하는 일자리 없음 등3),직장이동 등 1),노력한 만큼 수입 등 2)
2020.08_비전형,100,43.1,100,51.5,19.4,9.1,20,56.9,100,84.7,9.3,2.9,3
2021.08_정규직,100,88.3,100,44.5,50.5,3.3,1.6,11.7,100,74.5,17.1,6.5,1.9
2021.08_비정규직,100,59.9,100,58.1,22.6,11.9,7.4,40.1,100,75.9,14.8,6.2,3.1
2021.08_한시적,100,65,100,59.7,26,10.3,4,35,100,75.6,16,5.9,2.4
2021.08_기간제,100,66.9,100,60.2,26.4,9.9,3.4,33.1,100,75.4,16.4,5.8,2.4
2021.08_비기간제,100,50.9,100,54.6,22.1,13.5,9.7,49.1,100,76.8,14.3,6.7,2.2
2021.08_시간제,100,53.6,100,61.2,11.5,19.3,7.9,46.4,100,70.7,17.1,8.8,3.3
2021.08_비전형,100,46.2,100,53.2,19.7,9.1,18.1,53.8,100,82.6,10,3.4,4
2022.08_정규직,100,90.3,100,44.9,50.1,3.4,1.6,9.7,100,74.9,17.4,5.6,2.2
2022.08_비정규직,100,62.8,100,59.7,21.3,11.9,7.1,37.2,100,74.5,15,7,3.5
2022.08_한시적,100,66.8,100,60.8,25.6,9.8,3.9,33.2,100,74,16.4,6.4,3.1
2022.08_기간제,100,68.6,100,61.1,25.9,9.5,3.4,31.4,100,74.6,16.1,6.1,3.2
2022.08_비기간제,100,54,100,57.4,22.6,12.2,7.8,46,100,71.5,17.8,7.8,2.9
2022.08_시간제,100,55.6,100,62.9,9.7,19.3,8,44.4,100,71.5,15.5,9.4,3.6
2022.08_비전형,100,49.2,100,55.7,18.3,7.6,18.4,50.8,100,81.2,11.3,3.2,4.3
2023.08_정규직,100,90.6,100,46,48.8,3.7,1.5,9.4,100,75.8,15,7.9,1.4
